id,name,year,runtime,rating,genre,image,description,director,stars
1,"The Shawshank Redemption",1994,142,9.3,Drama,https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","Frank Darabont","['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler']"
2,"The Godfather",1972,175,9.2,"Crime, Drama",https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","Francis Ford Coppola","['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']"
3,"Ramayana: The Legend of Prince Rama",1993,135,9.2,"Animation, Action, Adventure",https://m.media-amazon.com/images/M/MV5BNDMzNzZhMDQtYzJjYy00MmNjLTk4OTItOGNjZTNjZTA0Mzc2XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_.jpg,"An anime adaptation of the Hindu epic the Ramayana, where Lord Ram combats the wicked king Ravana.","Ram Mohan","['Yûgô Sakô', 'Koichi Saski', 'Arun Govil', 'Nikhil Kapoor', 'Edie Mirman', 'Rael Padamsee']"
4,"Hababam Sinifi",1975,87,9.2,"Comedy, Drama",https://m.media-amazon.com/images/M/MV5BMGRjOGJhNDctZWYyNi00YzE1LWIwMGQtNTI1MDU1OTNmZjhlXkEyXkFqcGdeQXVyMTA1MzE1MjA4._V1_.jpg,"Lazy, uneducated students share a very close bond. They live together in the dormitory, where they plan their latest pranks. When a new headmaster arrives, the students naturally try to overthrow him. A comic war of nitwits follows.","Ertem Egilmez","['Kemal Sunal', 'Münir Özkul', 'Halit Akçatepe', 'Tarik Akan']"
5,DAMaN,2022,121,9.1,"Adventure, Drama",https://m.media-amazon.com/images/M/MV5BMjEwNDg1NWYtODNjMi00ODRiLWI1MzktYTc4MzMxOGQ3YzgzXkEyXkFqcGdeQXVyMTQ3MzQ4MDE0._V1_.jpg,"The film is set in 2015. Sid, is a young doctor who completed his MBBS has been posted to the cut-off area of Malkangiri district Odisha having 151 villages & infamous for Naxals dominance & no basic facilities. It's a real life tale of perseverance & dedication.","Lenka Debiprasad","['Vishal Mourya', 'Karan Kandhapan', 'Babushan Mohanty', 'Dipanwit Dashmohapatra', 'Manaswani Takri']"
6,"The Dark Knight",2008,152,9.0,"Action, Crime, Drama",https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_.jpg,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Christopher Nolan","['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']"
7,"Schindler's List",1993,195,9.0,"Biography, Drama, History",https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Steven Spielberg","['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall']"
8,"12 Angry Men",1957,96,9.0,"Crime, Drama",https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg,"The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.","Sidney Lumet","['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam', 'John Fiedler']"
9,"The Lord of the Rings: The Return of the King",2003,201,9.0,"Action, Adventure, Drama",https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,"Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.","Peter Jackson","['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']"
10,"The Godfather Part II",1974,202,9.0,"Crime, Drama",https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Francis Ford Coppola","['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']"
11,Aynabaji,2016,147,9.0,"Crime, Mystery, Thriller",https://m.media-amazon.com/images/M/MV5BOTQzYjk2ZTYtM2FhNi00ODQ1LWI0YWYtZDVhMzRiN2ZlMzQ5XkEyXkFqcGdeQXVyMTE3MzIyMDM5._V1_.jpg,"Ayna is an actor and the prison is his stage. He slips into the characters of the powerful convicted in exchange of money and take their place in prison. This strange profession is borne ...                See full summary »","Amitabh Reza Chowdhury","['Chanchal Chowdhury', 'Masuma Rahman Nabila', 'Partha Barua', 'Lutfur Rahman George']"
